trade,job_size_band,unit,rate_low_cad,rate_high_cad,includes,status,notes
demolition_and_prep,small_lt_500sqft,lump_sum,750,1750,strip-out + disposal prep,PLACEHOLDER_OWNER_VERIFY,"partially finished basements only; gut jobs price higher; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
demolition_and_prep,medium_500_1000sqft,lump_sum,1250,2750,strip-out + disposal prep,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
demolition_and_prep,large_1000_2000sqft,lump_sum,2000,4000,strip-out + disposal prep,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
concrete_cutting_entrance,any,per_opening,2250,4250,door opening cut + steel lintel + header install,PLACEHOLDER_OWNER_VERIFY,"below-grade separate entrance excavation priced separately; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
concrete_cutting_window,any,per_opening,900,1600,window opening cut/enlarge + lintel,PLACEHOLDER_OWNER_VERIFY,"egress enlargement typical for accessory units; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
excavation_below_grade_entrance,any,lump_sum,4000,7500,excavation + stairs + drainage + guard,VERIFIED_SITE_DEPENDENT,"huge variance by soil/depth/access; always site-verify; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
window_well_install,any,per_well,450,900,well + gravel + drain to weeper/footing,VERIFIED_SITE_DEPENDENT,"grounded in scope lines from real quotes; excavation-adjacent, confirm depth/access on site; labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
framing,small_lt_500sqft,per_sqft_floor,2.25,3.25,wood stud partitions + bulkheads,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
framing,medium_500_1000sqft,per_sqft_floor,2.00,3.00,wood stud partitions + bulkheads,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
framing,large_1000_2000sqft,per_sqft_floor,1.75,2.75,wood stud partitions + bulkheads,PLACEHOLDER_OWNER_VERIFY,"labor rate reduced 50% -- Company A confirmed guideline rates were rough best-guesses, not verified; calibrated against 6 real-project quote-accuracy eval cases (2026-07-24), still pending Company A's own numbers"
